企業名,法人番号,マイナビ掲載,採用担当者名,担当者確度,担当者根拠,部署,メール,電話番号,採用予定人数,卒年,採用ページURL,取得日
イチビキ株式会社,1180001021522,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ジェイアール東海高島屋,1180001030531,○,,,マイナビ掲載確認(担当者名は非公開),人事部,,052-566-1101,21,2026,https://job.mynavi.jp/27/pc/search/corp64296/outline.html,2026-06-30
株式会社ワールドツール,1010401117787,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
Ｐ＆Ｇジャパン合同会社,1140001024801,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社マツヤスーパー,1130001013359,○,高谷,0.8,採用担当者メッセージから氏名抽出(employment.html),,,075-501-3388,16,2026,https://job.mynavi.jp/27/pc/search/corp38812/outline.html,2026-06-30
カンケンテクノ株式会社,1130001030783,○,永田,0.82,採用担当者メッセージから氏名抽出(outline.html),,,075-955-8823,,2026,https://job.mynavi.jp/27/pc/search/corp233876/outline.html,2026-06-30
ニデックテクノモータ株式会社,1130001044180,○,,,マイナビ掲載確認(担当者名は非公開),,new-recruit@nidec-tecnom.co.jp,050-3100-1118,11,2026,https://job.mynavi.jp/27/pc/search/corp102751/outline.html,2026-06-30
西日本フード株式会社,1290001022575,○,,,マイナビ掲載確認(担当者名は非公開),,,092-291-6500,,2026,https://job.mynavi.jp/27/pc/search/corp55755/outline.html,2026-06-30
株式会社河野,1240001003357,○,,,マイナビ掲載確認(担当者名は非公開),,,047-372-3281,,2026,https://job.mynavi.jp/27/pc/search/corp227617/outline.html,2026-06-30
西部運輸株式会社,1240001031060,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社Ｂ・Ｉ,1370001005910,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@biunsou.co.jp,022-232-7329,6,2026,https://job.mynavi.jp/27/pc/search/corp250391/outline.html,2026-06-30
株式会社日本フードリンク,1110001004293,○,,,マイナビ掲載確認(担当者名は非公開),,fdrecruit@j-foodrink.co.jp,025-282-7023,16,2026,https://job.mynavi.jp/27/pc/search/corp227186/outline.html,2026-06-30
株式会社デンソーワイズテック,1200001018152,○,,,マイナビ掲載確認(担当者名は非公開),,,0574-60-5220,,2026,https://job.mynavi.jp/27/pc/search/corp205115/outline.html,2026-06-30
三重交通コミュニティ株式会社,1190001000351,○,,,マイナビ掲載確認(担当者名は非公開),総務部,jinji@sanco-com.co.jp,059-253-4051,1,2026,https://job.mynavi.jp/27/pc/search/corp229831/outline.html,2026-06-30
株式会社赤福,1190001006381,○,,,マイナビ掲載確認(担当者名は非公開),人事課,jinji@akafuku.co.jp,0596-22-2154,16,2026,https://job.mynavi.jp/27/pc/search/corp74010/outline.html,2026-06-30
株式会社テレコムスクエア,1010001026918,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社アート,1010701014775,○,,,マイナビ掲載確認(担当者名は非公開),,,089-961-1400,,2026,https://job.mynavi.jp/27/pc/search/corp232089/outline.html,2026-06-30
株式会社イボキン,1140001038603,○,,,マイナビ掲載確認(担当者名は非公開),,,0791-72-3531,,2026,https://job.mynavi.jp/27/pc/search/corp220384/outline.html,2026-06-30
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
札幌日信電子株式会社,2430001020233,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ダイキンＭＲエンジニアリング株式会社,1120001133315,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
コーホク印刷株式会社,1260001002373,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
内村酸素株式会社,3330001000450,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
関場建設株式会社,1380001015636,○,坪井,0.82,採用担当者メッセージから氏名抽出(outline.html),,,0244-25-2525,,2026,https://job.mynavi.jp/27/pc/search/corp108429/outline.html,2026-06-30
株式会社イナハラ,1140001006205,○,,,マイナビ掲載確認(担当者名は非公開),本社総務部,,078-231-4088,1,2026,https://job.mynavi.jp/27/pc/search/corp272359/outline.html,2026-06-30
共栄株式会社,1140001007137,○,,,マイナビ掲載確認(担当者名は非公開),,somu@kyoyei.com,078-321-2121,1,2026,https://job.mynavi.jp/27/pc/search/corp84842/outline.html,2026-06-30
株式会社エージェンシーアシスト,1130001013945,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
船橋興産株式会社,1040001019365,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
グローブシップ総合管理株式会社,1010001062434,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社クエリー,1021001019662,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社秀光,1020001077472,○,,,マイナビ掲載確認(担当者名は非公開),,,044-543-5320,,2026,https://job.mynavi.jp/27/pc/search/corp54310/outline.html,2026-06-30
株式会社グラファイトデザイン,1030001090714,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社竹花組,1100001007330,○,小林,0.82,採用担当者メッセージから氏名抽出(outline.html),,,0267-53-2345,,2026,https://job.mynavi.jp/27/pc/search/corp228305/outline.html,2026-06-30
株式会社アスピア,1100001014038,○,,,マイナビ掲載確認(担当者名は非公開),,,0263-32-8855,,2026,https://job.mynavi.jp/27/pc/search/corp81910/outline.html,2026-06-30
株式会社ユニオン,1200001005687,○,,,マイナビ掲載確認(担当者名は非公開),総務部,,011-746-8281,1,2026,https://job.mynavi.jp/27/pc/search/corp250977/outline.html,2026-06-30
ピコシステム株式会社,2260001005516,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@picosystem.co.jp,086-246-1225,6,2026,https://job.mynavi.jp/27/pc/search/corp84434/outline.html,2026-06-30
株式会社タイセークリーン,1380001005678,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
三展ミネコンサルタント株式会社,1050001010315,○,,,マイナビ掲載確認(担当者名は非公開),,,029-826-2536,,2026,https://job.mynavi.jp/27/pc/search/corp254483/outline.html,2026-06-30
永大化工株式会社,1120001019704,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6791-3355,,2026,https://job.mynavi.jp/27/pc/search/corp215054/outline.html,2026-06-30
埼玉西ヤクルト販売株式会社,1030001026924,○,,,マイナビ掲載確認(担当者名は非公開),総務部,soumu@saitamanishi-yakult.co.jp,04-2964-8960,1,2026,https://job.mynavi.jp/27/pc/search/corp290391/outline.html,2026-06-30
八十二リース株式会社,1100001002835,○,,,マイナビ掲載確認(担当者名は非公開),,,026-226-8282,1,2026,https://job.mynavi.jp/27/pc/search/corp96263/outline.html,2026-06-30
日信防災株式会社,1010001025449,○,,,マイナビ掲載確認(担当者名は非公開),総務部,,03-3862-4171,6,2026,https://job.mynavi.jp/27/pc/search/corp261909/outline.html,2026-06-30
株式会社アビリブ,1180001056163,○,,,マイナビ掲載確認(担当者名は非公開),,,052-262-8041,,2026,https://job.mynavi.jp/27/pc/search/corp274866/outline.html,2026-06-30
株式会社日新システムズ,2130001018398,○,,,マイナビ掲載確認(担当者名は非公開),総務部,,075-344-7880,6,2026,https://job.mynavi.jp/27/pc/search/corp81271/outline.html,2026-06-30
サンライズ・エンジニアリング株式会社,1010001123335,○,,,マイナビ掲載確認(担当者名は非公開),総務部,sec-saiyou@sec-sunrise.com,03-6861-6231,16,2026,https://job.mynavi.jp/27/pc/search/corp74959/outline.html,2026-06-30
大和機工株式会社,1180001092588,○,,,マイナビ掲載確認(担当者名は非公開),,,0562-47-2161,,2026,https://job.mynavi.jp/27/pc/search/corp105173/outline.html,2026-06-30
株式会社渡商会,2020001024960,○,,,マイナビ掲載確認(担当者名は非公開),,,045-441-1321,,2026,https://job.mynavi.jp/27/pc/search/corp55722/outline.html,2026-06-30
富士テクノロジー株式会社,1080001012804,○,酒井,0.82,採用担当者メッセージから氏名抽出(outline.html),,,054-204-2001,,2026,https://job.mynavi.jp/27/pc/search/corp219827/outline.html,2026-06-30
東光印刷株式会社,1240001007440,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社オービス,1240001030054,○,小西,0.7,採用担当者メッセージから氏名抽出(outline.html),総務部,,086-292-6123,,2026,https://job.mynavi.jp/27/pc/search/corp210487/outline.html,2026-06-30
宮城日野自動車株式会社,1370001005258,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社アサプリ,2190001013443,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
愛媛トヨペット株式会社,1500001000807,○,,,マイナビ掲載確認(担当者名は非公開),,,089-972-0426,6,2026,https://job.mynavi.jp/27/pc/search/corp87731/outline.html,2026-06-30
愛媛トヨタ自動車株式会社,2500001000806,○,,,マイナビ掲載確認(担当者名は非公開),,,089-941-5171,,2026,https://job.mynavi.jp/27/pc/search/corp264313/outline.html,2026-06-30
東洋株式会社,1460101001189,○,,,マイナビ掲載確認(担当者名は非公開),,,0225-94-3311,,2026,https://job.mynavi.jp/27/pc/search/corp261752/outline.html,2026-06-30
ライラック興業株式会社,2430001018120,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ムラタ計測器サービス株式会社,2020001008096,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
深川医療器株式会社,1240001017514,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
高沢産業株式会社,2100001001852,○,,,マイナビ掲載確認(担当者名は非公開),,,026-228-0777,1,2026,https://job.mynavi.jp/27/pc/search/corp90661/outline.html,2026-06-30
滋賀日野自動車株式会社,1160001014544,○,,,マイナビ掲載確認(担当者名は非公開),,,077-552-2533,,2026,https://job.mynavi.jp/27/pc/search/corp221033/outline.html,2026-06-30
フクダ電子西部南販売株式会社,1330001004032,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
東邦福島株式会社,1380001009126,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社アークス,1430001018377,○,西元,0.7,採用担当者メッセージから氏名抽出(employment.html),,,052-269-0170,1,2026,https://job.mynavi.jp/27/pc/search/corp230179/outline.html,2026-06-30
鉄鋼処理産業株式会社,1290801012296,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
日本連合警備株式会社,1080001013224,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3260-6431,,2026,https://job.mynavi.jp/27/pc/search/corp201070/outline.html,2026-06-30
宮城熊さん株式会社,2370001002378,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
住商エアロシステム株式会社,1010001020185,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社つむら工芸,1120001045502,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6448-2761,,2026,https://job.mynavi.jp/27/pc/search/corp258443/outline.html,2026-06-30
朝日金属株式会社,1180001011481,○,,,マイナビ掲載確認(担当者名は非公開),,,052-901-2111,,2026,https://job.mynavi.jp/27/pc/search/corp82206/outline.html,2026-06-30
株式会社チップトン,1180001014914,○,,,マイナビ掲載確認(担当者名は非公開),人事課,soumu@tipton.co.jp,052-691-5177,,2026,https://job.mynavi.jp/27/pc/search/corp89297/outline.html,2026-06-30
株式会社クロステック,1020001037212,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社リサーチアンドソリューション,1290001017278,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
池田煖房工業株式会社,1430001001267,○,,,マイナビ掲載確認(担当者名は非公開),,,011-726-1151,,2026,https://job.mynavi.jp/27/pc/search/corp21929/outline.html,2026-06-30
サイレックス・テクノロジー株式会社,2130001037373,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社奥井組,2030001026824,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社セントラルユニ,1010001103857,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3556-1331,6,2026,https://job.mynavi.jp/27/pc/search/corp65930/outline.html,2026-06-30
日本リック株式会社,1010001101679,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5216-5311,,2026,https://job.mynavi.jp/27/pc/search/corp219957/outline.html,2026-06-30
三機テクノサポート株式会社,1010001116842,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6367-7640,2,2026,https://job.mynavi.jp/27/pc/search/corp87120/outline.html,2026-06-30
株式会社ケアコネクトジャパン,1080001006310,○,奥田,0.7,採用担当者メッセージから氏名抽出(employment.html),総務部,,054-202-0300,6,2026,https://job.mynavi.jp/27/pc/search/corp200631/outline.html,2026-06-30
古川電気工業株式会社,1370001006009,○,,,マイナビ掲載確認(担当者名は非公開),総務部,soumu.bu2@furukawa-denki.com,022-236-6031,1,2026,https://job.mynavi.jp/27/pc/search/corp230415/outline.html,2026-06-30
株式会社スズキ自販滋賀,1160001001088,○,,,マイナビ掲載確認(担当者名は非公開),,,077-551-1588,,2026,https://job.mynavi.jp/27/pc/search/corp60025/outline.html,2026-06-30
株式会社スズキ自販松山,1500001002274,○,,,マイナビ掲載確認(担当者名は非公開),管理部,recruit@j-matsuyama.sdr.suzuki,089-971-6112,6,2026,https://job.mynavi.jp/27/pc/search/corp211225/outline.html,2026-06-30
株式会社オカムラ,2330001012686,○,成田,0.7,採用担当者メッセージから氏名抽出(employment.html),総務人事部,,017-736-7777,1,2026,https://job.mynavi.jp/27/pc/search/corp266902/outline.html,2026-06-30
中央紙器工業株式会社,1180001045224,○,加藤,0.7,採用担当者メッセージから氏名抽出(employment.html),総務部,,052-400-2800,6,2026,https://job.mynavi.jp/27/pc/search/corp216755/outline.html,2026-06-30
テスコ株式会社,1370001009259,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5244-5312,,2026,https://job.mynavi.jp/27/pc/search/corp111800/outline.html,2026-06-30
株式会社シバックス,1020001008907,○,,,マイナビ掲載確認(担当者名は非公開),,,045-934-7211,10,2026,https://job.mynavi.jp/27/pc/search/corp72809/outline.html,2026-06-30
福岡センコー運輸株式会社,1290001019349,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
日新興業株式会社,1120001057571,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3256-1311,1,2026,https://job.mynavi.jp/27/pc/search/corp21871/outline.html,2026-06-30
清和肥料工業株式会社,1120001082578,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社グッドライフ,1021001000589,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3537-0790,51,2026,https://job.mynavi.jp/27/pc/search/corp250477/outline.html,2026-06-30
東洋警備保障株式会社,1290801002636,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
加賀ソルネット株式会社,1010001087332,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ミック,2011101020553,○,秋山,0.7,採用担当者メッセージから氏名抽出(outline.html),,,04-7130-9003,,2026,https://job.mynavi.jp/27/pc/search/corp291122/outline.html,2026-06-30
オフィスコム株式会社,1010001125570,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
シブヤ食品株式会社,1370001003187,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
オリックスレンタカー・カメイ株式会社,1370001007493,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
宮城中央ヤクルト販売株式会社,1370801000276,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
