企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
株式会社トヨタレンタリース鹿児島,099-268-0100,honda@trl-kgsm.co.jp,カーリース,100～300人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,52,52.2%,1.77x,1.00x,1.12x,1.55x,3,経路[アウトバウンド架電]1.77x｜業種[カーリース]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込52.2%
株式会社住軽日軽エンジニアリング,03-5628-8510,jinji@sne.co.jp,不動産・建設・設備,100～300人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,51,51.0%,1.26x,1.40x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込51.0%
株式会社大進建設,017-781-3000,saiyo@daishink.co.jp,不動産・建設・設備,100～300人未満,26～30名,02：担当者未接触,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,51,51.2%,1.26x,1.40x,1.12x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込51.2%
植松商事株式会社,0985-22-5100,,商社,100～300人未満,36～40名,04：ジャッジ,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,51,51.0%,1.26x,1.51x,1.12x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込51.0%
ALLAGI株式会社,0725-44-0035,,不動産・建設・設備,100～300人未満,31～35名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,47,47.2%,1.26x,1.40x,1.12x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込47.2%
株式会社スイート・ピア,03-5728-3156,sweetpia@gakunavi.net,その他サービス（個人向け）,100～300人未満,36～40名,89：リサイクル,その他タグ,主戦場(スイート),ミニマム/ミドル,47,47.4%,1.22x,1.45x,1.12x,1.41x,4,経路[その他タグ]1.22x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込47.4%
日本特殊陶業株式会社,052-218-6312,ml.saiyo.jp@niterragroup.com,メーカー （機械・電気・電子）,5千～1万人未満,46～50名,03：コネクト情報獲得,未タグ(温/手入力),要注意(大),競合ATS確認,47,46.8%,1.26x,1.75x,0.89x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[5000-1万名]0.89x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込46.8%
静岡日産自動車株式会社,054-261-2311,saiyou_madoguchi@shizuoka-nissan.co.jp,自動車整備,300～500人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,47,46.6%,1.26x,1.00x,1.41x,1.55x,3,経路[未タグ(温/手入力)]1.26x｜業種[自動車整備]1.00x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込46.6%
パーソルテクノロジースタッフ株式会社,03-5334-5604,ptcs-saiyou@hito-link.jp,その他サービス（法人向け）,1千～2千人未満,16～20名,89：リサイクル,未タグ(温/手入力),有効(上限),スタンダード提案,46,46.4%,1.26x,1.09x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（法人向け）]1.09x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込46.4%
株式会社ナダ万,03-5724-3363,,外食・フードサービス,500～1千人未満,51～100名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,46,45.5%,1.26x,1.24x,1.30x,1.32x,4,経路[未タグ(温/手入力)]1.26x｜業種[外食・フードサービス]1.24x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込45.5%
株式会社ステップ本部,06-7711-5151,human@step-japan.jp,専門店（スポーツ用品）,300～500人未満,26～30名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,46,46.0%,1.26x,1.00x,1.41x,1.53x,3,経路[未タグ(温/手入力)]1.26x｜業種[専門店（スポーツ用品）]1.00x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込46.0%
池上長寿園本部事務局,03-5700-6171,recruit@ikegami.or.jp,デイケア,300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,46,45.8%,1.26x,1.00x,1.41x,1.52x,3,経路[未タグ(温/手入力)]1.26x｜業種[デイケア]1.00x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込45.8%
株式会社電通テック,03-6257-8000,ss.saiyo@dentsu-pmp.co.jp,マスコミ・広告・デザイン,500～1千人未満,21～25名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,43,42.6%,1.26x,1.00x,1.30x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[マスコミ・広告・デザイン]1.00x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込42.6%
花巻温泉株式会社,0198-37-2242,soumu@hanamakionsen.co.jp,レジャー・アミューズメントサービス,100～300人未満,11～15名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,42,41.7%,1.26x,1.14x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[レジャー・アミューズメントサービス]1.14x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込41.7%
学校法人産業医科大学,093-603-1611,saiyoujinji@pub.uoeh-u.ac.jp,その他,2千～5千人未満,6～10名,89：リサイクル,未タグ(温/手入力),要注意(大),競合ATS確認,42,41.5%,1.26x,1.09x,1.15x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他]1.09x｜規模[2000-5000名]1.15x｜新卒採用[6-10名]1.55x｜競合ATS確認｜成約見込41.5%
株式会社ハッケン,084-973-8015,,レジャー・アミューズメントサービス,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,42,42.4%,1.26x,1.14x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[レジャー・アミューズメントサービス]1.14x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込42.4%
株式会社荘内銀行,022-226-7207,saiyo@fidea.co.jp,地方銀行,500～1千人未満,11～15名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,42,42.3%,1.26x,1.00x,1.30x,1.52x,3,経路[未タグ(温/手入力)]1.26x｜業種[地方銀行]1.00x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込42.3%
株式会社日本チャンキー,086-803-3660,y-nishimura@mail.chunky.co.jp,その他サービス（法人向け）,100～300人未満,6～10名,02：担当者未接触,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,41,40.6%,1.26x,1.09x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（法人向け）]1.09x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込40.6%
国立大学法人 九州大学,092-802-2234,jkkkeikaku@jimu.kyushu-u.ac.jp,その他,2千～5千人未満,11～15名,03：コネクト情報獲得,未タグ(温/手入力),要注意(大),競合ATS確認,41,40.8%,1.26x,1.09x,1.15x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他]1.09x｜規模[2000-5000名]1.15x｜新卒採用[11-15名]1.52x｜競合ATS確認｜成約見込40.8%
株式会社日能研九州,092-526-8000,,その他,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,40,40.3%,1.26x,1.09x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他]1.09x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込40.3%
社会福祉法人コバト会,06-6318-2004,kobatohoiku@kobatokai.jp,その他,100～300人未満,6～10名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,40,40.3%,1.26x,1.09x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他]1.09x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込40.3%
株式会社アトラス二十一,080-4379-3487,jinji@at21.jp,マスコミ・広告・デザイン,1千～2千人未満,46～50名,89：リサイクル,未タグ(温/手入力),有効(上限),スタンダード提案,39,39.3%,1.26x,1.00x,1.30x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[マスコミ・広告・デザイン]1.00x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込39.3%
株式会社ミツカンロジテック,0569-21-3331,saiyo@mizkan.co.jp,食料品卸売り,500～1千人未満,46～50名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,39,39.1%,1.26x,1.00x,1.30x,1.41x,3,経路[未タグ(温/手入力)]1.26x｜業種[食料品卸売り]1.00x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込39.1%
株式会社ジャパンフレッシュ,045-224-7420,,メーカー（素材・食品・医薬品他),100～300人未満,101～200名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,38,37.5%,1.26x,1.43x,1.12x,1.10x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[100-300名]1.12x｜新卒採用[101名+]1.10x｜ミニマム/ミドル｜成約見込37.5%
三協立山株式会社,0766-20-2111,,商社,5千～1万人未満,51～100名,03：コネクト情報獲得,未タグ(温/手入力),要注意(大),競合ATS確認,38,38.0%,1.26x,1.51x,0.89x,1.32x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[5000-1万名]0.89x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込38.0%
ジャパンエレベーターパーツ株式会社,03-6262-1635,saiyou@jes24.co.jp,不動産・建設・設備,100～300人未満,101～200名,02：担当者未接触,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,37,36.8%,1.26x,1.40x,1.12x,1.10x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[100-300名]1.12x｜新卒採用[101名+]1.10x｜ミニマム/ミドル｜成約見込36.8%
株式会社ファーストスクエア,06-6243-1155,saiyou@f-square.co.jp,通信・インフラ,500～1千人未満,11～15名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,37,36.7%,1.26x,0.87x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[通信・インフラ]0.87x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込36.7%
株式会社ザナックス,06-6568-1110,,商社（スポーツ用品）,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,37,37.1%,1.26x,1.00x,1.12x,1.55x,3,経路[未タグ(温/手入力)]1.26x｜業種[商社（スポーツ用品）]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込37.1%
岩井コスモ証券株式会社,0120-06-2958,,証券業,500～1千人未満,51～100名,04：ジャッジ,未タグ(温/手入力),有効(中堅上),スタンダード提案,37,36.7%,1.26x,1.00x,1.30x,1.32x,3,経路[未タグ(温/手入力)]1.26x｜業種[証券業]1.00x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込36.7%
EYアドバイザリー・アンド・コンサルティング株式会社,03-3503-3500,,コンサルティング,500～1千人未満,101～200名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,33,32.9%,1.26x,1.08x,1.30x,1.10x,4,経路[未タグ(温/手入力)]1.26x｜業種[コンサルティング]1.08x｜規模[500-1000名]1.30x｜新卒採用[101名+]1.10x｜スタンダード提案｜成約見込32.9%
株式会社日本経済新聞社,03-6256-7285,saiyo@nex.nikkei.co.jp,マスコミ・広告・デザイン,2千～5千人未満,51～100名,89：リサイクル,未タグ(温/手入力),要注意(大),競合ATS確認,33,32.7%,1.26x,1.00x,1.15x,1.32x,4,経路[未タグ(温/手入力)]1.26x｜業種[マスコミ・広告・デザイン]1.00x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込32.7%
株式会社光陽社,0248-46-2891,,メーカー（アパレル・繊維）,100～300人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,32,32.3%,1.26x,0.89x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（アパレル・繊維）]0.89x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込32.3%
西日本建設業保証株式会社,06-6543-2935,sakai@wincs.co.jp,金融・保険,100～300人未満,6～10名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,31,30.8%,0.50x,2.07x,1.12x,1.55x,4,経路[お断り再利用]0.50x｜業種[金融・保険]2.07x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込30.8%
両備信用組合,0847-45-2228,,金融・保険,100～300人未満,6～10名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,31,30.8%,0.50x,2.07x,1.12x,1.55x,4,経路[お断り再利用]0.50x｜業種[金融・保険]2.07x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込30.8%
花王,03-3660-7111,,メーカー（素材・食品・医薬品他),5千～1万人未満,101～200名,89：リサイクル,未タグ(温/手入力),要注意(大),競合ATS確認,30,29.8%,1.26x,1.43x,0.89x,1.10x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[5000-1万名]0.89x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込29.8%
株式会社タムラ製作所,050-3664-0571,recruit@tamura-ss.co.jp,メーカー （機械・電気・電子）,500～1千人未満,11～15名,89：リサイクル,お断り再利用,有効(中堅上),スタンダード提案,30,29.5%,0.50x,1.75x,1.30x,1.52x,4,経路[お断り再利用]0.50x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込29.5%
三菱化工機株式会社,044-333-5362,,メーカー （機械・電気・電子）,500～1千人未満,21～25名,01：新規,お断り再利用,有効(中堅上),スタンダード提案,30,29.7%,0.50x,1.75x,1.30x,1.53x,4,経路[お断り再利用]0.50x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込29.7%
備後信用組合,084-922-6556,,金融・保険,100～300人未満,11～15名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,30,30.2%,0.50x,2.07x,1.12x,1.52x,4,経路[お断り再利用]0.50x｜業種[金融・保険]2.07x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込30.2%
カッパ・クリエイト株式会社,045-224-7403,group-saiyou@colowide.co.jp,レストラン全般,500～1千人未満,201～300名,02：担当者未接触,その他タグ,有効(中堅上),スタンダード提案,30,29.5%,1.22x,1.00x,1.30x,1.10x,3,経路[その他タグ]1.22x｜業種[レストラン全般]1.00x｜規模[500-1000名]1.30x｜新卒採用[101名+]1.10x｜スタンダード提案｜成約見込29.5%
ナガサキ西海農業協同組合,0956-64-3141,jinji@ja-nagasakisaikai.or.jp,公共インフラ・エネルギー・環境,300～500人未満,11～15名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,29,29.0%,0.50x,1.58x,1.41x,1.52x,4,経路[お断り再利用]0.50x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込29.0%
