法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
木村情報技術株式会社,インターネット関連,IT・ソフトウェア,,,1～2名,1:1-2,佐賀県,九州・沖縄,0952-97-9491,,,,,ミドルプラン,ミドルプラン,,,,あり,2025/12,2026/11,11,2025,マイナビ掲載リスト,89：リサイクル,k-idea.jp,独自ドメイン,採用専用,あり,○,
株式会社ケイテック,メーカー （機械・電気・電子）,製造・メーカー,500～1千人未満,09:500-1000,不明,,神奈川県,関東,045-548-9333,,1990,36,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,,99：アーカイブ,e-ktec.co.jp,独自ドメイン,採用専用,あり,○,○
社会福祉法人玄洋会,,,,,,,福岡県,九州・沖縄,0940524686,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,,05：コンバート,genyoukai.or.jp,独自ドメイン,採用専用,あり,○,
株式会社南山堂,流通・小売・物販,流通・小売,500～1千人未満,09:500-1000,,,東京都,関東,03-5791-7310,,,,,スタンダード,スタンダード,,,,,2025/12,2026/11,11,2025,,05：コンバート,nanzando.co.jp,独自ドメイン,採用専用,あり,○,
古林産業機具株式会社,,,100～300人未満,07:100-300,11～15名,4:11-15,大阪府,近畿,06-6541-7469,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,その他リスト,05：コンバート,e-fsk.co.jp,独自ドメイン,個人名/その他,あり,○,
 名鉄グループバスホールディングス株式会社,,,,,,,愛知県,中部・北陸,052-586-8470,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2026/01,2026/12,11,2025,,05：コンバート,nrr.meitetsu.co.jp,独自ドメイン,採用専用,あり,○,
横浜市立みなと赤十字病院,,,,,,,神奈川県,関東,0456286787,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2026/04,2027/03,11,2025,,05：コンバート,yokohama.jrc.or.jp,独自ドメイン,人事・総務,あり,○,
林建材株式会社,その他商社,商社・卸,,,3～5名,2:3-5,三重県,近畿,059-382-2680,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,,05：コンバート,promarthayashi.co.jp,独自ドメイン,個人名/その他,あり,○,
呉信用金庫,信用金庫・信用組合・労働金庫,金融・保険,,,16～20名,5:16-20,広島県,中国・四国,0823-25-6832,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,,05：コンバート,kureshin.co.jp,独自ドメイン,採用専用,あり,○,
東亜道路工業株式会社,建設・設備,建設・不動産,500～1千人未満,09:500-1000,51～100名,8:51-100,東京都,関東,03-3405-1811,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,マイナビ掲載リスト,99：アーカイブ,toadoro.co.jp,独自ドメイン,個人名/その他,あり,○,
イフスコダイニング株式会社,,,,,不明,,愛知県,中部・北陸,052-221-6111,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,,99：アーカイブ,ifsco-group.com,独自ドメイン,採用専用,あり,○,
株式会社柿本商会,設備工事,建設・不動産,,,16～20名,5:16-20,石川県,中部・北陸,076-268-2111,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/12,2026/11,11,2025,マイナビ掲載リスト,05：コンバート,kakimoto.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社スズキビジネス,不動産・建設・設備,建設・不動産,300～500人未満,08:300-500,,,静岡県,中部・北陸,053-440-0860,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/01,2026/12,11,2025,,05：コンバート,suzuki-business.co.jp,独自ドメイン,採用専用,あり,○,
青木フルーツ株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/01,2026/12,11,2025,,,fruit-aoki.co.jp,独自ドメイン,採用専用,あり,,
株式会社Ｎプランニング,,,,,,,,,,,,,,スタンダード,スタンダード,,,,,2026/01,2026/12,11,2025,,,with-group.co.jp,独自ドメイン,人事・総務,あり,,
株式会社東京コンサルティングファーム,専門コンサルティング,人材・専門・公共サービス,,,36～40名,7:31-50,東京都,関東,03-6822-9018,,,,,ミドルプラン,ミドルプラン,,,,,2026/01,2026/12,11,2026,マイナビ掲載リスト,05：コンバート,tokyoconsultinggroup.com,独自ドメイン,採用専用,,○,
株式会社新庄砕石工業所,建設,建設・不動産,50～100人未満,06:50-100,3～5名,2:3-5,山形県,北海道・東北,0233-23-5077,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/01,2026/12,11,2026,マイナビ掲載リスト,05：コンバート,ssk.kouji.biz,独自ドメイン,個人名/その他,,○,
株式会社なんつね,機械,製造・メーカー,100～300人未満,07:100-300,16～20名,5:16-20,大阪府,近畿,072-939-1500,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2026/03,2027/02,11,2026,マイナビ掲載リスト,05：コンバート,nantsune.co.jp,独自ドメイン,採用専用,あり,○,
株式会社ミツウロコヴェッセル,,,,,,,,,819036569356,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,,01：新規,mitsuuroko.co.jp,独自ドメイン,採用専用,あり,○,
社会福祉法人横浜婦人クラブ愛児園,その他,その他,不明,,,,神奈川県,関東,045-751-2512,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,,05：コンバート,y-aijien.com,独自ドメイン,個人名/その他,あり,○,
株式会社八幡ねじ,商社（鉄鋼・金属）,製造・メーカー,,,16～20名,5:16-20,愛知県,中部・北陸,0568-22-2629,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,マイナビ掲載リスト,99：アーカイブ,yht.jp,独自ドメイン,採用専用,あり,○,
タクトホーム株式会社,住宅,建設・不動産,,,46～50名,7:31-50,東京都,関東,042-464-8788,,,,,スタンダード,スタンダード,,,,,2026/02,2027/01,11,2026,マイナビ掲載リスト,05：コンバート,tacthome.co.jp,独自ドメイン,個人名/その他,あり,○,
たちばな信用金庫,信用金庫・労働金庫・信用組合,金融・保険,100～300人未満,07:100-300,6～10名,3:6-10,長崎県,九州・沖縄,0957-22-1379,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,マイナビ掲載リスト,05：コンバート,tachibana-shinkin.co.jp,独自ドメイン,人事・総務,あり,○,
アルスホーム株式会社,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,6～10名,3:6-10,石川県,中部・北陸,076-492-9966,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,再アプローチ,05：コンバート,arshome.co.jp,独自ドメイン,人事・総務,あり,○,
株式会社エヌアセットホールディングス,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/02,2027/01,11,2026,,,n-asset.com,独自ドメイン,採用専用,あり,,
フジタ自動車工業株式会社,メーカー （機械・電気・電子）,製造・メーカー,100～300人未満,07:100-300,,,香川県,中国・四国,087-876-5311,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/03,2027/02,11,2026,,05：コンバート,fujitabody.com,独自ドメイン,個人名/その他,あり,○,
西兵庫信用金庫,信用金庫,金融・保険,300～500人未満,08:300-500,21～25名,6:21-30,兵庫県,近畿,0790-62-7707,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/03,2027/02,11,2026,マイナビ掲載リスト,05：コンバート,facetoface.ne.jp,独自ドメイン,個人名/その他,あり,○,
とぴあ浜松農業協同組合,,,,,36～40名,7:31-50,静岡県,中部・北陸,053-476-3116,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/03,2027/02,11,2026,その他リスト,リサイクル,topia.ja-shizuoka.or.jp,独自ドメイン,個人名/その他,あり,○,
カジマメカトロエンジニアリング株式会社,機械,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,大阪府,近畿,06-4808-8855,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/03,2027/02,11,2026,マイナビ掲載リスト,99：アーカイブ,kme.jp,独自ドメイン,個人名/その他,あり,○,
株式会社スズキ自販長崎,商社（自動車関連・輸送用機器）,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,長崎県,九州・沖縄,095-882-2771,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/03,2027/02,11,2026,マイナビ掲載リスト,89：リサイクル,j-nagasaki.sdr.suzuki,独自ドメイン,個人名/その他,あり,○,
株式会社タカラ・エムシー,,,,,6～10名,3:6-10,静岡県,中部・北陸,054-654-5000,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,アウトバウンド架電,05：コンバート,takaramc.com,独自ドメイン,採用専用,あり,○,
株式会社ヨークベニマル,スーパーマーケット,流通・小売,1万人～,13:10000+,不明,,福島県,北海道・東北,0249833244,,,,,スタンダード,スタンダード,,,,,2026/04,2027/03,11,2026,,リサイクル,yb.7andi.co.jp,独自ドメイン,個人名/その他,あり,○,
黒田化学株式会社,自動車・自動車部品,製造・メーカー,100～300人未満,07:100-300,6～10名,3:6-10,富山県,中部・北陸,0766-67-5085,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,マイナビ掲載リスト,05：コンバート,kuroda-kagaku.co.jp,独自ドメイン,人事・総務,あり,○,
長野県厚生農業協同組合連合会,医療機関,医療・介護・福祉,5千～1万人未満,12:5000-10000,3～5名,2:3-5,長野県,中部・北陸,0261-62-3166,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,マイナビ掲載リスト,99：アーカイブ,kou.nn-ja.or.jp,独自ドメイン,人事・総務,あり,○,
株式会社ヨコタエンタープライズ,,,,,,,,,08059694290,,,,,ミドルプラン,ミドルプラン,,,,,2026/04,2027/03,11,2026,,05：コンバート,yokota-ent.com,独自ドメイン,個人名/その他,あり,○,
金森産業株式会社,商社全般,商社・卸,,,3～5名,2:3-5,富山県,中部・北陸,0766-25-0127,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,,05：コンバート,kanamorisangyo.co.jp,独自ドメイン,人事・総務,あり,○,
株式会社五味八珍,外食・レストラン,外食・サービス・レジャー,,,11～15名,4:11-15,静岡県,中部・北陸,053-464-0644,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,マイナビ掲載リスト,05：コンバート,gomihattin.com,独自ドメイン,個人名/その他,あり,○,
ネッツトヨタ広島株式会社,商社（自動車・輸送機器）,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,広島県,中国・四国,082-503-1120,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2026,再アプローチ,01：新規,netz-hiroshima.co.jp,独自ドメイン,個人名/その他,あり,○,
揖斐川工業株式会社,その他ビジネスサービス,人材・専門・公共サービス,,,16～20名,5:16-20,岐阜県,中部・北陸,0584-81-6172,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/05,2027/04,11,2026,マイナビ掲載リスト,05：コンバート,ibiko.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社カミチクホールディングス,食品,製造・メーカー,,,11～15名,4:11-15,鹿児島県,九州・沖縄,0998221888,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/05,2027/04,11,2026,マイナビ掲載リスト,リサイクル,kamichiku.co.jp,独自ドメイン,人事・総務,あり,○,
ヤマハモーターソリューション株式会社,情報処理,IT・ソフトウェア,100～300人未満,07:100-300,21～25名,6:21-30,静岡県,中部・北陸,0538392216,,,,,ミドルプラン,ミドルプラン,,,,,2026/05,2027/04,11,2026,マイナビ掲載リスト,05：コンバート,ymsl.co.jp,独自ドメイン,採用専用,あり,○,
社会福祉法人三重ベタニヤ,,,,,3～5名,2:3-5,三重県,近畿,059-230-0032,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/06,2027/05,11,2026,,05：コンバート,betaniya.com,独自ドメイン,個人名/その他,あり,○,
株式会社岡山木村屋,パン生産/卸売り,商社・卸,100～300人未満,07:100-300,不明,,岡山県,中国・四国,086-462-6255,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/07,2027/06,11,2026,,01：新規,okayama-kimuraya.co.jp,独自ドメイン,採用専用,あり,○,
株式会社フジメディアテクノロジー,放送,公共インフラ・エネルギー,100～300人未満,07:100-300,6～10名,3:6-10,東京都,関東,03-5500-0900,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/07,2027/06,11,2026,マイナビ掲載リスト,05：コンバート,fuji-mt.co.jp,独自ドメイン,人事・総務,あり,○,
株式会社明豊エンタープライズ,,,,,,,東京都,関東,03-5434-7650,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2026/07,2027/06,11,2026,,05：コンバート,saiyo-p.com,独自ドメイン,個人名/その他,あり,○,
御國色素株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/07,2027/06,11,2026,,,mikuni-color.co.jp,独自ドメイン,個人名/その他,あり,,
